,source,target,edge
0,Case SummaryThe patient,2 blood diabetes,is
1,He,long time pharmacy,been
2,here refill which,burning  feet,is
3,History,10 Family Medicine years,seeing current
4,Health,,been stable
5,Patient,hypertension medicine,takes
6,Social HistoryPatient,classified ad newspaper,works
7,away  he,close  friends,lives
8,He,vegetable garden,likes
9,Family HistoryPatient,heart attack,died of
10,Mother,2  diabetes,type
11,28 Sample Patient patient,old  CAD,is
12,Prior  he,only  dyslipidemia,diagnosed with
13,He,new  sildenafil,presents to
14,History,local Las Vegas,moved to
15,when heart he,family,had
16,twice  he,month  that,visited
17,Social HistoryPatient,,drink
18,where collection he,typically  desk,works as
19,He,cooked  dinner,exercise
20,He,girlfriend,lives with
21,family,Oklahoma,lives in
22,Family HistoryPatient,2 heart DM,died of
23,,,HistoryDyslipidemia
24,30 3Name patient,2 blood diabetes,is
25,History,new diabetes medication,saw
26,Social HistoryPatient,elementary grade school,has
27,She,husband,lives at
28,husband,2  diabetes,type
29,,,HistoryHypertension
30,500 Medication ListToday,,remainingPriceLisinopril
31,,,QD303011/13/123$10
32,,,00ASA(Aspirin
33,,,QD303008/24/122$10
34,00,Appendices    31Supersize,BID
